"filename", "handler", "benchmarker", "rate", "time"
"http/frameworks.js", "replaceProto", "test-double-http", 2316, 5.072024212
"http/frameworks.js", "wrapReq", "test-double-http", 1987, 5.077614253
"http/frameworks.js", "proxy", "test-double-http", 1914, 5.071643829
"http/frameworks.js", "modifySome", "test-double-http", 1934, 5.112128994
"http/frameworks.js", "express", "test-double-http", 1675, 5.070122229
"http/frameworks.js", "restify", "test-double-http", 1697, 5.07720305
"http/frameworks.js", "baseline", "test-double-http", 1855, 5.076278063
"http/frameworks.js", "modifyReq", "test-double-http", 1911, 5.256216777
"http/frameworks.js", "modifyProto", "test-double-http", 1869, 5.070319456
"http/frameworks.js", "newProto", "test-double-http", 1796, 5.074513152
"http/frameworks.js", "replaceProto", "test-double-http", 1832, 5.078526551
"http/frameworks.js", "wrapReq", "test-double-http", 2441, 5.075850293
"http/frameworks.js", "proxy", "test-double-http", 2294, 5.075983766
"http/frameworks.js", "modifySome", "test-double-http", 1850, 5.074774126
"http/frameworks.js", "express", "test-double-http", 2049, 5.0764074279999996
"http/frameworks.js", "restify", "test-double-http", 1945, 5.070339964
"http/frameworks.js", "baseline", "test-double-http", 2155, 5.111168516
"http/frameworks.js", "modifyReq", "test-double-http", 2096, 5.069287952
"http/frameworks.js", "modifyProto", "test-double-http", 1788, 5.075063414
"http/frameworks.js", "newProto", "test-double-http", 1367, 5.077102792
"http/frameworks.js", "replaceProto", "test-double-http", 2488, 5.07065668
"http/frameworks.js", "wrapReq", "test-double-http", 1091, 5.571124539
"http/frameworks.js", "proxy", "test-double-http", 2192, 5.069739911
"http/frameworks.js", "modifySome", "test-double-http", 2316, 5.070756368
"http/frameworks.js", "express", "test-double-http", 2028, 5.083547848
"http/frameworks.js", "restify", "test-double-http", 2019, 5.071322562
"http/frameworks.js", "baseline", "test-double-http", 2340, 5.076723581
"http/frameworks.js", "modifyReq", "test-double-http", 1906, 5.079731206
"http/frameworks.js", "modifyProto", "test-double-http", 2753, 5.229441625
"http/frameworks.js", "newProto", "test-double-http", 1829, 5.070063237
"http/frameworks.js", "replaceProto", "test-double-http", 1770, 5.076740981
"http/frameworks.js", "wrapReq", "test-double-http", 1880, 5.073030931
"http/frameworks.js", "proxy", "test-double-http", 1873, 5.078440583
"http/frameworks.js", "modifySome", "test-double-http", 1870, 5.173137972
"http/frameworks.js", "express", "test-double-http", 1159, 5.074719449
"http/frameworks.js", "restify", "test-double-http", 1303, 5.13934029
"http/frameworks.js", "baseline", "test-double-http", 2916, 5.23055264
"http/frameworks.js", "modifyReq", "test-double-http", 2847, 5.074497485
"http/frameworks.js", "modifyProto", "test-double-http", 1940, 5.124204883
"http/frameworks.js", "newProto", "test-double-http", 2253, 5.06978272
"http/frameworks.js", "replaceProto", "test-double-http", 2504, 5.075266938
"http/frameworks.js", "wrapReq", "test-double-http", 2190, 5.07836912
"http/frameworks.js", "proxy", "test-double-http", 1554, 5.072160782
"http/frameworks.js", "modifySome", "test-double-http", 1483, 5.072302658
"http/frameworks.js", "express", "test-double-http", 1777, 5.069159615
"http/frameworks.js", "restify", "test-double-http", 1801, 5.069796336
"http/frameworks.js", "baseline", "test-double-http", 2350, 5.072039752
"http/frameworks.js", "modifyReq", "test-double-http", 2094, 5.075013999
"http/frameworks.js", "modifyProto", "test-double-http", 2336, 5.071128881
"http/frameworks.js", "newProto", "test-double-http", 2820, 5.086190624
"http/frameworks.js", "replaceProto", "test-double-http", 2384, 5.06889239
"http/frameworks.js", "wrapReq", "test-double-http", 2075, 5.072142563
"http/frameworks.js", "proxy", "test-double-http", 1892, 5.069756871
"http/frameworks.js", "modifySome", "test-double-http", 1484, 5.070536064
"http/frameworks.js", "express", "test-double-http", 1398, 5.075606547
"http/frameworks.js", "restify", "test-double-http", 1827, 5.07915077
"http/frameworks.js", "baseline", "test-double-http", 1688, 5.18157327
"http/frameworks.js", "modifyReq", "test-double-http", 1721, 5.07666412
"http/frameworks.js", "modifyProto", "test-double-http", 2859, 5.075286261
"http/frameworks.js", "newProto", "test-double-http", 2536, 5.112397257
"http/frameworks.js", "replaceProto", "test-double-http", 2861, 5.071769839
"http/frameworks.js", "wrapReq", "test-double-http", 2179, 5.081171392
"http/frameworks.js", "proxy", "test-double-http", 1310, 5.083440073
"http/frameworks.js", "modifySome", "test-double-http", 1513, 5.087917823
"http/frameworks.js", "express", "test-double-http", 1748, 5.07559992
"http/frameworks.js", "restify", "test-double-http", 1668, 5.072041245
"http/frameworks.js", "baseline", "test-double-http", 2405, 5.070733186
"http/frameworks.js", "modifyReq", "test-double-http", 2517, 5.068560479
"http/frameworks.js", "modifyProto", "test-double-http", 2839, 5.076070187
"http/frameworks.js", "newProto", "test-double-http", 2522, 5.069762274
"http/frameworks.js", "replaceProto", "test-double-http", 1986, 5.068626613
"http/frameworks.js", "wrapReq", "test-double-http", 1825, 5.070406806
"http/frameworks.js", "proxy", "test-double-http", 1790, 5.072295069
"http/frameworks.js", "modifySome", "test-double-http", 1660, 5.086030476
"http/frameworks.js", "express", "test-double-http", 1535, 5.072034419
"http/frameworks.js", "restify", "test-double-http", 1502, 5.069937612
"http/frameworks.js", "baseline", "test-double-http", 2360, 5.084549638
"http/frameworks.js", "modifyReq", "test-double-http", 2399, 5.077551875
"http/frameworks.js", "modifyProto", "test-double-http", 2273, 5.218163679
"http/frameworks.js", "newProto", "test-double-http", 2179, 5.072585116
"http/frameworks.js", "replaceProto", "test-double-http", 2004, 5.11316504
"http/frameworks.js", "wrapReq", "test-double-http", 1957, 5.069736043
"http/frameworks.js", "proxy", "test-double-http", 1778, 5.078307541
"http/frameworks.js", "modifySome", "test-double-http", 1663, 5.074302894
"http/frameworks.js", "express", "test-double-http", 1610, 5.069770072
"http/frameworks.js", "restify", "test-double-http", 1634, 5.076055459
"http/frameworks.js", "baseline", "test-double-http", 2212, 5.071465614
"http/frameworks.js", "modifyReq", "test-double-http", 2179, 5.070695789
"http/frameworks.js", "modifyProto", "test-double-http", 1416, 5.089946329
"http/frameworks.js", "newProto", "test-double-http", 1845, 5.07247885
"http/frameworks.js", "replaceProto", "test-double-http", 1737, 5.14334241
"http/frameworks.js", "wrapReq", "test-double-http", 1517, 5.089637212
"http/frameworks.js", "proxy", "test-double-http", 1746, 5.115892595
"http/frameworks.js", "modifySome", "test-double-http", 2507, 5.110666048
"http/frameworks.js", "express", "test-double-http", 2458, 5.260199886
"http/frameworks.js", "restify", "test-double-http", 2121, 5.074458041
"http/frameworks.js", "baseline", "test-double-http", 1391, 5.075013333
"http/frameworks.js", "modifyReq", "test-double-http", 1750, 5.079991588
"http/frameworks.js", "modifyProto", "test-double-http", 1568, 5.138914252
"http/frameworks.js", "newProto", "test-double-http", 1877, 5.078842935
"http/frameworks.js", "replaceProto", "test-double-http", 1251, 5.081426358
"http/frameworks.js", "wrapReq", "test-double-http", 2348, 5.089953395
"http/frameworks.js", "proxy", "test-double-http", 1770, 5.072620408
"http/frameworks.js", "modifySome", "test-double-http", 2392, 5.076423574
"http/frameworks.js", "express", "test-double-http", 2526, 5.068414238
"http/frameworks.js", "restify", "test-double-http", 2156, 5.069985254
"http/frameworks.js", "baseline", "test-double-http", 1893, 5.07183881
"http/frameworks.js", "modifyReq", "test-double-http", 2088, 5.076231563
"http/frameworks.js", "modifyProto", "test-double-http", 1849, 5.150738165
"http/frameworks.js", "newProto", "test-double-http", 2001, 5.070296165
"http/frameworks.js", "replaceProto", "test-double-http", 1788, 5.069329323
"http/frameworks.js", "wrapReq", "test-double-http", 1963, 5.073916133
"http/frameworks.js", "proxy", "test-double-http", 2067, 5.08203926
"http/frameworks.js", "modifySome", "test-double-http", 2151, 5.06948086
"http/frameworks.js", "express", "test-double-http", 1933, 5.073271224
"http/frameworks.js", "restify", "test-double-http", 1463, 5.084081808
"http/frameworks.js", "baseline", "test-double-http", 2347, 5.085119763
"http/frameworks.js", "modifyReq", "test-double-http", 2323, 5.073058323
"http/frameworks.js", "modifyProto", "test-double-http", 1510, 5.076150255
"http/frameworks.js", "newProto", "test-double-http", 2358, 5.076429147
"http/frameworks.js", "replaceProto", "test-double-http", 2354, 5.078814445
"http/frameworks.js", "wrapReq", "test-double-http", 2258, 5.074756286
"http/frameworks.js", "proxy", "test-double-http", 1972, 5.301437899
"http/frameworks.js", "modifySome", "test-double-http", 1551, 5.076101009
"http/frameworks.js", "express", "test-double-http", 1824, 5.070586013
"http/frameworks.js", "restify", "test-double-http", 1904, 5.074393951
