"filename", "handler", "benchmarker", "rate", "time"
"http/modify-req.js", "replaceProto", "test-double-http", 1515, 5.069474492
"http/modify-req.js", "wrapReq", "test-double-http", 1572, 5.101568875
"http/modify-req.js", "proxy", "test-double-http", 1888, 5.476102857
"http/modify-req.js", "modifySome", "test-double-http", 2068, 5.067791828
"http/modify-req.js", "baseline", "test-double-http", 1898, 5.107276103
"http/modify-req.js", "modifyReq", "test-double-http", 1873, 5.103427989
"http/modify-req.js", "modifyProto", "test-double-http", 1830, 5.087125776
"http/modify-req.js", "newProto", "test-double-http", 2156, 5.066768181
"http/modify-req.js", "replaceProto", "test-double-http", 1476, 5.067511627
"http/modify-req.js", "wrapReq", "test-double-http", 1538, 5.185423974
"http/modify-req.js", "proxy", "test-double-http", 1645, 5.089143334
"http/modify-req.js", "modifySome", "test-double-http", 1348, 10.600624714
"http/modify-req.js", "baseline", "test-double-http", 433, 6.043021757
"http/modify-req.js", "modifyReq", "test-double-http", 1835, 5.369088474
"http/modify-req.js", "modifyProto", "test-double-http", 2307, 5.112754802
"http/modify-req.js", "newProto", "test-double-http", 1496, 6.05094553
"http/modify-req.js", "replaceProto", "test-double-http", 2457, 5.075361754
"http/modify-req.js", "wrapReq", "test-double-http", 1347, 5.084402687
"http/modify-req.js", "proxy", "test-double-http", 818, 5.126569923
"http/modify-req.js", "modifySome", "test-double-http", 1454, 5.0824516299999996
"http/modify-req.js", "baseline", "test-double-http", 1767, 5.077330756
"http/modify-req.js", "modifyReq", "test-double-http", 2060, 5.07688429
"http/modify-req.js", "modifyProto", "test-double-http", 2292, 5.078373709
"http/modify-req.js", "newProto", "test-double-http", 1734, 5.073871813
"http/modify-req.js", "replaceProto", "test-double-http", 2070, 5.076229892
"http/modify-req.js", "wrapReq", "test-double-http", 1724, 5.087277152
"http/modify-req.js", "proxy", "test-double-http", 1484, 5.073211928
"http/modify-req.js", "modifySome", "test-double-http", 1779, 5.078276851
"http/modify-req.js", "baseline", "test-double-http", 1692, 5.072701822
"http/modify-req.js", "modifyReq", "test-double-http", 1397, 5.07306707
"http/modify-req.js", "modifyProto", "test-double-http", 1967, 5.078503186
"http/modify-req.js", "newProto", "test-double-http", 1836, 5.074276837
"http/modify-req.js", "replaceProto", "test-double-http", 1933, 5.073699906
"http/modify-req.js", "wrapReq", "test-double-http", 2061, 5.224399651
"http/modify-req.js", "proxy", "test-double-http", 1345, 5.927317882
"http/modify-req.js", "modifySome", "test-double-http", 1461, 5.077232996
"http/modify-req.js", "baseline", "test-double-http", 1632, 5.075793144
"http/modify-req.js", "modifyReq", "test-double-http", 1461, 5.315989016
"http/modify-req.js", "modifyProto", "test-double-http", 1520, 5.087045086
"http/modify-req.js", "newProto", "test-double-http", 1926, 5.098928099
"http/modify-req.js", "replaceProto", "test-double-http", 1815, 5.073967075
"http/modify-req.js", "wrapReq", "test-double-http", 2137, 5.075534966
"http/modify-req.js", "proxy", "test-double-http", 1836, 5.072784078
"http/modify-req.js", "modifySome", "test-double-http", 1418, 5.079220328
"http/modify-req.js", "baseline", "test-double-http", 1525, 5.073249117
